date,unemployment,inflation,misery_index,recession
1978-05-01,6.0,7.14285714285714,13.142857142857139,0.0
1978-06-01,5.9,7.438016528925617,13.338016528925618,0.0
1978-07-01,6.2,7.7302631578947345,13.930263157894736,0.0
1978-08-01,5.9,7.855973813420625,13.755973813420624,0.0
1978-09-01,6.0,8.482871125611746,14.482871125611746,0.0
1978-10-01,5.8,8.92857142857142,14.72857142857142,0.0
1978-11-01,5.9,8.870967741935477,14.770967741935477,0.0
1978-12-01,6.0,8.988764044943842,14.988764044943842,0.0
1979-01-01,5.9,9.250398724082931,15.150398724082931,0.0
1979-02-01,5.9,9.84126984126985,15.741269841269851,0.0
1979-03-01,5.8,10.252365930599371,16.052365930599372,0.0
1979-04-01,5.8,10.485133020344284,16.285133020344283,0.0
1979-05-01,5.6,10.697674418604652,16.29767441860465,0.0
1979-06-01,5.7,11.076923076923073,16.776923076923072,0.0
1979-07-01,5.7,11.45038167938932,17.15038167938932,0.0
1979-08-01,6.0,11.836115326251884,17.836115326251885,0.0
1979-09-01,5.9,11.879699248120312,17.779699248120313,0.0
1979-10-01,6.0,12.071535022354718,18.071535022354716,0.0
1979-11-01,5.9,12.592592592592599,18.4925925925926,0.0
1979-12-01,6.0,13.254786450662737,19.254786450662735,0.0
1980-01-01,6.3,13.868613138686126,20.168613138686126,0.0
1980-02-01,6.3,14.161849710982644,20.461849710982644,1.0
1980-03-01,6.3,14.592274678111572,20.892274678111573,1.0
1980-04-01,6.9,14.589235127478762,21.489235127478764,1.0
1980-05-01,7.5,14.425770308123242,21.92577030812324,1.0
1980-06-01,7.6,14.265927977839322,21.86592797783932,1.0
1980-07-01,7.8,13.15068493150684,20.95068493150684,1.0
1980-08-01,7.7,12.890094979647216,20.590094979647215,0.0
1980-09-01,7.5,12.768817204301076,20.268817204301076,0.0
1980-10-01,7.5,12.632978723404253,20.132978723404253,0.0
1980-11-01,7.5,12.631578947368416,20.131578947368418,0.0
1980-12-01,7.2,12.353706111833551,19.553706111833552,0.0
1981-01-01,7.5,11.794871794871797,19.294871794871796,0.0
1981-02-01,7.4,11.392405063291132,18.792405063291135,0.0
1981-03-01,7.4,10.611735330836458,18.01173533083646,0.0
1981-04-01,7.2,10.135970333745359,17.335970333745358,0.0
1981-05-01,7.5,9.79192166462668,17.291921664626678,0.0
1981-06-01,7.5,9.696969696969692,17.196969696969692,0.0
1981-07-01,7.2,10.774818401937058,17.974818401937057,0.0
1981-08-01,7.4,10.817307692307686,18.217307692307685,1.0
1981-09-01,7.6,10.96543504171632,18.56543504171632,1.0
1981-10-01,7.9,10.271546635182993,18.17154663518299,1.0
1981-11-01,8.3,9.579439252336464,17.879439252336464,1.0
1981-12-01,8.5,8.912037037037024,17.412037037037024,1.0
1982-01-01,8.6,8.25688073394495,16.856880733944948,1.0
1982-02-01,8.9,7.613636363636367,16.513636363636365,1.0
1982-03-01,9.0,6.884875846501148,15.88487584650115,1.0
1982-04-01,9.3,6.621773288439958,15.921773288439958,1.0
1982-05-01,9.4,6.911928651059096,16.311928651059098,1.0
1982-06-01,9.6,7.182320441988943,16.782320441988944,1.0
1982-07-01,9.8,6.557377049180335,16.357377049180336,1.0
1982-08-01,9.8,5.965292841648595,15.765292841648595,1.0
1982-09-01,10.1,4.940923737916236,15.040923737916236,1.0
1982-10-01,10.4,5.032119914346889,15.432119914346888,1.0
1982-11-01,10.8,4.47761194029852,15.27761194029852,1.0
1982-12-01,10.8,3.825717321997879,14.625717321997879,0.0
1983-01-01,10.4,3.7076271186440746,14.107627118644075,0.0
1983-02-01,10.4,3.484688489968324,13.884688489968324,0.0
1983-03-01,10.3,3.5902851108764455,13.890285110876446,0.0
1983-04-01,10.2,4.0000000000000036,14.200000000000003,0.0
1983-05-01,10.1,3.44108446298228,13.54108446298228,0.0
1983-06-01,10.1,2.4742268041237248,12.574226804123725,0.0
1983-07-01,9.4,2.358974358974364,11.758974358974363,0.0
1983-08-01,9.5,2.456499488229258,11.956499488229259,0.0
1983-09-01,9.2,2.763561924257929,11.963561924257927,0.0
1983-10-01,8.8,2.752293577981657,11.552293577981658,0.0
1983-11-01,8.5,3.1632653061224536,11.663265306122454,0.0
1983-12-01,8.3,3.7871033776867957,12.087103377686796,0.0
1984-01-01,8.0,4.290091930541351,12.290091930541351,0.0
1984-02-01,7.8,4.693877551020398,12.493877551020397,0.0
1984-03-01,7.8,4.892966360856277,12.692966360856277,0.0
1984-04-01,7.7,4.5546558704453455,12.254655870445346,0.0
1984-05-01,7.4,4.3346774193548265,11.734677419354828,0.0
1984-06-01,7.2,4.325955734406439,11.52595573440644,0.0
1984-07-01,7.5,4.308617234468937,11.808617234468937,0.0
1984-08-01,7.5,4.295704295704317,11.795704295704317,0.0
1984-09-01,7.3,4.2828685258964105,11.58286852589641,0.0
1984-10-01,7.4,4.265873015873023,11.665873015873023,0.0
1984-11-01,7.2,4.154302670623156,11.354302670623156,0.0
1984-12-01,7.3,4.043392504930954,11.343392504930954,0.0
1985-01-01,7.3,3.52595494613126,10.82595494613126,0.0
1985-02-01,7.2,3.6062378167641462,10.806237816764146,0.0
1985-03-01,7.2,3.790087463556846,10.990087463556847,0.0
1985-04-01,7.3,3.581800580832528,10.881800580832529,0.0
1985-05-01,7.2,3.5748792270531515,10.774879227053152,0.0
1985-06-01,7.4,3.6644165863066513,11.064416586306653,0.0
1985-07-01,7.4,3.458213256484166,10.858213256484166,0.0
1985-08-01,7.1,3.3524904214559337,10.452490421455934,0.0
1985-09-01,7.1,3.2473734479465,10.347373447946499,0.0
1985-10-01,7.1,3.2350142721217834,10.335014272121782,0.0
1985-11-01,7.0,3.5137701804368593,10.51377018043686,0.0
1985-12-01,7.0,3.791469194312791,10.791469194312791,0.0
1986-01-01,6.7,3.9735099337748325,10.673509933774833,0.0
1986-02-01,7.2,3.19849482596426,10.39849482596426,0.0
1986-03-01,7.2,2.1535580524344455,9.353558052434446,0.0
1986-04-01,7.1,1.5887850467289688,8.688785046728968,0.0
1986-05-01,7.2,1.679104477611948,8.879104477611948,0.0
1986-06-01,7.2,1.7674418604651132,8.967441860465113,0.0
1986-07-01,7.0,1.671309192200554,8.671309192200553,0.0
1986-08-01,6.9,1.575532900834098,8.475532900834098,0.0
1986-09-01,7.0,1.757631822386685,8.757631822386685,0.0
1986-10-01,7.0,1.5668202764977046,8.566820276497705,0.0
1986-11-01,6.9,1.2844036697247763,8.184403669724777,0.0
1986-12-01,6.6,1.187214611872145,7.787214611872145,0.0
1987-01-01,6.6,1.364877161055511,7.964877161055511,0.0
1987-02-01,6.6,1.9143117593436676,8.514311759343666,0.0
1987-03-01,6.6,2.8414298808432603,9.441429880843259,0.0
1987-04-01,6.3,3.679852805887762,9.979852805887763,0.0
1987-05-01,6.3,3.669724770642202,9.969724770642202,0.0
1987-06-01,6.2,3.7477148080438782,9.947714808043878,0.0
1987-07-01,6.1,3.926940639269394,10.026940639269394,0.0
1987-08-01,6.0,4.2883211678832245,10.288321167883225,0.0
1987-09-01,5.9,4.2727272727272725,10.172727272727272,0.0
